amfi_code,expense_ratio,return_1yr,return_3yr,return_5yr
100028,1.79,-2.2,7.14,11.39
100029,0.82,2.19,18.14,9.5
100030,2.26,22.04,12.49,16.27
100031,0.68,16.31,7.78,13.9
100034,0.79,-4.16,20.12,8.65
100035,1.42,4.05,16.07,10.45
100036,1.82,11.41,10.23,10.7
100037,1.73,4.22,14.77,9.13
100038,1.24,-0.17,15.34,12.61
100041,0.3,-2.04,10.29,8.7
100043,1.3,3.64,7.81,19.91
100044,0.23,15.82,21.95,14.28
100046,1.49,24.71,10.56,15.18
100047,0.44,15.73,14.75,18.61
100049,2.07,1.28,19.58,17.36
100051,2.42,15.4,18.56,9.33
100053,2.36,10.28,13.8,9.46
100054,1.57,21.5,16.49,19.44
100055,1.84,2.3,17.15,8.95
100056,1.1,7.46,23.87,10.53
100058,1.39,29.96,11.62,14.78
100059,1.15,6.57,23.86,16.41
100061,1.87,13.49,5.28,10.36
100062,1.34,-0.12,8.36,16.7
100063,0.96,17.96,11.4,13.5
100064,2.14,0.99,10.52,8.5
100066,1.0,,12.08,10.66
100067,0.88,0.74,11.8,9.92
100068,2.25,24.97,22.61,12.58
100069,1.89,-4.21,8.26,17.06
100078,0.59,15.41,6.39,14.75
100080,1.52,25.22,10.22,9.95
100081,1.79,7.76,6.83,18.96
100082,1.25,-2.43,19.34,16.27
100084,1.28,26.69,21.47,13.73
100086,1.06,18.33,7.83,16.04
100087,2.44,3.45,14.86,10.38
100088,0.5,29.15,13.16,7.99
