transaction_id,amfi_code,investor_id,transaction_type,amount,transaction_date,kyc_status
TXN897608,100081,INV7563,Redemption,80948.84,2023-08-04,Rejected
TXN527605,100038,INV4862,Redemption,50306.11,2023-11-04,Unknown
TXN279168,100067,INV3729,Lumpsum,18962.03,2023-07-18,Unknown
TXN341840,100035,INV8544,SIP,47204.69,2023-06-05,Pending
TXN139999,100031,INV2634,Lumpsum,5159.54,2023-03-21,Rejected
TXN908777,100036,INV1382,Redemption,40864.89,2023-12-11,Pending
TXN670530,100041,INV2441,SIP,47056.5,2023-07-19,Rejected
TXN221999,100029,INV1076,SIP,24711.8,2023-01-15,Pending
TXN929031,100034,INV6082,Lumpsum,44497.32,2023-06-08,Rejected
TXN871245,100062,INV2894,SIP,59235.95,2023-01-01,Verified
TXN738238,100081,INV8334,Redemption,10040.03,2023-11-10,Rejected
TXN886349,100033,INV9700,Redemption,35483.4,2023-06-25,Pending
TXN339568,100068,INV8932,Redemption,17752.45,2023-12-03,Pending
TXN805156,100078,INV1555,SIP,3566.97,2023-05-28,Rejected
TXN353319,100061,INV6831,Redemption,64519.78,2023-08-14,Verified
TXN677039,100029,INV4898,Lumpsum,23740.8,2023-06-03,Unknown
TXN137763,100030,INV4281,Lumpsum,96145.59,2023-03-14,Unknown
TXN273485,100059,INV2436,SIP,58980.6,2023-09-30,Rejected
TXN910688,100056,INV3840,SIP,83776.51,2023-07-15,Verified
TXN149944,100048,INV6840,SIP,75235.97,2023-12-19,Verified
TXN458600,100030,INV7399,Lumpsum,66784.26,2023-06-26,Pending
TXN869482,100046,INV3455,SIP,60694.6,2023-01-13,Unknown
TXN501174,100030,INV9451,SIP,61946.63,2023-11-19,Verified
TXN451217,100061,INV6945,SIP,85545.88,2023-03-24,Unknown
TXN438684,100079,INV2209,SIP,81969.15,2023-12-10,Pending
TXN282175,100066,INV8850,SIP,68435.92,2023-11-27,Pending
TXN302797,100061,INV5120,SIP,49739.71,2023-09-02,Rejected
TXN461943,100054,INV9423,Redemption,228.59,2023-05-21,Verified
TXN543468,100046,INV8610,SIP,62288.24,2023-06-23,Unknown
TXN989827,100064,INV6588,SIP,52460.27,2023-10-15,Rejected
TXN237996,100034,INV9017,Redemption,36636.75,2023-02-21,Pending
TXN778036,100051,INV5981,Redemption,42857.56,2023-07-17,Pending
TXN567074,100064,INV5455,Redemption,92942.64,2023-02-23,Unknown
TXN492136,100053,INV6329,Redemption,81511.5,2023-09-26,Unknown
TXN881371,100086,INV2543,SIP,53988.25,2023-07-24,Rejected
TXN613102,100088,INV9890,Redemption,20178.0,2023-07-06,Verified
TXN128997,100063,INV8578,Lumpsum,68296.88,2023-09-18,Unknown
TXN719824,100064,INV4529,Redemption,78452.55,2023-06-01,Rejected
TXN555358,100046,INV2149,Redemption,24769.92,2023-04-22,Verified
TXN912761,100054,INV5301,Lumpsum,35233.38,2023-01-24,Rejected
TXN375652,100037,INV1811,SIP,6876.25,2023-09-08,Pending
TXN636861,100066,INV6557,Lumpsum,77300.46,2023-02-16,Rejected
TXN485368,100031,INV9727,Redemption,39148.63,2023-02-06,Verified
TXN252589,100077,INV5632,Lumpsum,31478.98,2023-02-21,Rejected
TXN724521,100027,INV5093,SIP,96385.65,2023-04-25,Verified
TXN153773,100030,INV7606,Lumpsum,10986.05,2023-01-23,Verified
TXN362261,100031,INV7951,SIP,64543.44,2023-04-16,Pending
TXN557024,100055,INV3202,Redemption,39779.54,2023-02-17,Verified
TXN977100,100035,INV2934,Lumpsum,5585.53,2023-11-06,Pending
TXN844100,100046,INV6174,Lumpsum,24292.16,2023-09-26,Unknown
TXN974365,100065,INV9486,SIP,10649.7,2023-04-17,Unknown
TXN790918,100034,INV4475,Redemption,32557.47,2023-02-07,Rejected
TXN268722,100055,INV2242,Redemption,57509.03,2023-12-14,Pending
TXN293771,100043,INV7570,SIP,93772.84,2023-05-20,Verified
TXN152431,100066,INV1816,Lumpsum,16779.29,2023-09-28,Verified
TXN634431,100059,INV5311,SIP,48507.62,2023-12-27,Verified
TXN306903,100060,INV5381,Lumpsum,78764.11,2023-10-21,Verified
TXN397592,100057,INV5292,SIP,23836.66,2023-09-27,Unknown
TXN893816,100044,INV9902,SIP,24380.49,2023-11-27,Unknown
TXN486679,100063,INV6673,SIP,18892.96,2023-12-02,Pending
TXN963117,100036,INV1891,Redemption,73382.58,2023-05-09,Pending
TXN504096,100047,INV6729,SIP,41601.97,2023-08-27,Pending
TXN653910,100068,INV5996,SIP,58788.23,2023-06-30,Unknown
TXN739496,100031,INV8056,Lumpsum,64965.43,2023-10-26,Verified
TXN406551,100035,INV8936,SIP,96484.52,2023-06-04,Rejected
TXN125001,100084,INV4879,SIP,686.05,2023-06-28,Pending
TXN535755,100065,INV2677,Redemption,13085.87,2023-10-11,Verified
TXN835262,100087,INV7729,SIP,54127.92,2023-03-05,Unknown
TXN725189,100067,INV1332,Redemption,39516.13,2023-05-13,Pending
TXN995005,100078,INV4094,Lumpsum,9559.84,2023-02-14,Pending
TXN274454,100036,INV3882,Redemption,49347.9,2023-05-10,Pending
TXN561551,100067,INV8292,SIP,49926.96,2023-10-18,Verified
TXN427347,100054,INV4298,SIP,87503.73,2023-08-03,Pending
TXN382092,100086,INV7129,Lumpsum,43088.29,2023-02-04,Verified
TXN778635,100084,INV5326,Lumpsum,70616.27,2023-01-01,Pending
TXN872681,100068,INV9159,Redemption,93523.47,2023-09-23,Unknown
TXN292458,100077,INV3181,Redemption,31413.1,2023-10-04,Verified
TXN173305,100029,INV3160,SIP,62330.04,2023-11-18,Pending
TXN478894,100057,INV7424,Lumpsum,77690.13,2023-01-03,Pending
TXN139536,100055,INV1563,Lumpsum,58861.47,2023-09-21,Verified
TXN287467,100079,INV6793,Lumpsum,93319.56,2023-03-13,Pending
TXN203381,100041,INV2491,SIP,28451.01,2023-11-07,Pending
TXN499351,100054,INV9551,SIP,58112.37,2023-07-09,Pending
TXN409330,100029,INV3385,Lumpsum,98319.23,2023-07-07,Unknown
TXN503131,100084,INV4409,Lumpsum,5280.57,2023-06-14,Unknown
TXN788315,100032,INV2952,Redemption,43150.5,2023-10-02,Pending
TXN675771,100088,INV2714,Redemption,17432.09,2023-08-03,Unknown
TXN293812,100078,INV8335,Redemption,94850.24,2023-11-22,Unknown
TXN837326,100047,INV1237,Redemption,36227.36,2023-10-06,Unknown
TXN195717,100086,INV6911,Lumpsum,9420.18,2023-01-21,Unknown
TXN727358,100035,INV1867,SIP,8183.57,2023-09-22,Pending
TXN649236,100041,INV2686,Lumpsum,33585.12,2023-05-04,Rejected
TXN860869,100082,INV2382,SIP,34515.55,2023-04-07,Pending
TXN227395,100080,INV3588,SIP,85317.82,2023-01-12,Unknown
TXN260919,100034,INV4252,Lumpsum,34186.69,2023-08-06,Unknown
TXN929683,100035,INV7252,Lumpsum,8023.73,2023-01-19,Verified
TXN895677,100055,INV9337,Lumpsum,29036.74,2023-11-16,Unknown
TXN929161,100082,INV4818,SIP,98994.23,2023-01-07,Unknown
TXN884181,100060,INV9128,Redemption,44289.38,2023-10-02,Unknown
TXN206945,100053,INV1358,Lumpsum,54295.33,2023-02-10,Rejected
TXN621891,100029,INV6515,SIP,87791.52,2023-02-12,Pending
TXN600739,100029,INV8367,Lumpsum,86536.97,2023-04-24,Pending
TXN798596,100057,INV4237,SIP,44272.67,2023-08-01,Verified
TXN918238,100086,INV1665,Lumpsum,97803.93,2023-01-04,Pending
TXN988158,100036,INV5595,SIP,4504.15,2023-04-19,Pending
