amfi_code,date,nav
100027,29-05-2008,10.7205
100027,28-05-2008,10.725
100027,27-05-2008,10.7216
100027,26-05-2008,10.7206
100027,23-05-2008,10.7152
100027,22-05-2008,10.7136
100027,21-05-2008,10.721
100027,20-05-2008,10.7202
100027,16-05-2008,10.7134
100027,15-05-2008,10.7113
100027,14-05-2008,10.7106
100027,13-05-2008,10.7107
100027,12-05-2008,10.7095
100027,09-05-2008,10.7032
100027,08-05-2008,10.7011
100027,07-05-2008,10.7012
100027,06-05-2008,10.7056
100027,05-05-2008,10.6999
100027,02-05-2008,10.6898
100027,30-04-2008,-10.5
100027,29-04-2008,10.6727
100027,28-04-2008,10.6402
100027,25-04-2008,10.6247
100027,24-04-2008,10.6186
100027,23-04-2008,10.6171
100027,22-04-2008,10.6164
100027,21-04-2008,10.6072
100027,17-04-2008,10.5995
100027,16-04-2008,10.6002
100027,15-04-2008,10.6029
100027,11-04-2008,10.5953
100027,10-04-2008,10.5951
100027,09-04-2008,10.5954
100027,08-04-2008,10.5932
100027,07-04-2008,10.5911
100027,04-04-2008,10.5827
100027,03-04-2008,10.5863
100027,02-04-2008,10.5836
100027,01-04-2008,10.5808
100027,31-03-2008,10.5788
100027,28-03-2008,10.5719
100027,27-03-2008,10.563
100027,26-03-2008,10.5589
100027,25-03-2008,10.5555
100027,24-03-2008,10.5534
100027,19-03-2008,11.0475
100027,18-03-2008,11.0437
100027,17-03-2008,11.0418
100027,14-03-2008,11.0369
100027,13-03-2008,11.035
100027,12-03-2008,11.034
100027,11-03-2008,11.0314
100027,10-03-2008,11.0314
100027,07-03-2008,11.0266
100027,05-03-2008,11.0241
100027,04-03-2008,11.0285
100027,03-03-2008,11.0294
100027,29-02-2008,11.0204
100027,28-02-2008,11.0128
100027,27-02-2008,11.0108
100027,26-02-2008,11.0101
100027,25-02-2008,11.0054
100027,22-02-2008,10.9994
100027,21-02-2008,11.0006
100027,20-02-2008,10.9948
100027,19-02-2008,11.0086
100027,18-02-2008,11.0121
100027,15-02-2008,11.0178
100027,14-02-2008,11.0256
100027,13-02-2008,11.0317
100027,12-02-2008,11.0341
100027,11-02-2008,11.0362
100027,08-02-2008,11.028
100027,07-02-2008,11.0279
100027,06-02-2008,11.0293
100027,05-02-2008,11.0259
100027,04-02-2008,11.0283
100027,01-02-2008,11.0239
100027,31-01-2008,11.0199
100027,30-01-2008,11.0177
100027,29-01-2008,11.0216
100027,28-01-2008,11.0517
100027,25-01-2008,11.0635
100027,24-01-2008,11.0823
100027,23-01-2008,11.0811
100027,22-01-2008,11.0376
100027,21-01-2008,11.012
100027,18-01-2008,11.0056
100027,17-01-2008,11.003
100027,16-01-2008,10.9923
100027,15-01-2008,11.0047
100027,14-01-2008,11.0178
100027,11-01-2008,10.9874
100027,10-01-2008,10.9532
100027,09-01-2008,10.9158
100027,08-01-2008,10.9111
100027,07-01-2008,10.9162
100027,04-01-2008,10.879
100027,03-01-2008,10.8614
100027,02-01-2008,10.8681
100027,01-01-2008,10.8516
100027,31-12-2007,10.8143
100027,28-12-2007,10.794
100027,27-12-2007,10.77
100027,26-12-2007,-10.5
100027,24-12-2007,10.7552
100027,20-12-2007,10.7469
100027,19-12-2007,10.7433
100027,18-12-2007,10.7402
100027,17-12-2007,10.7333
100027,14-12-2007,10.7266
100027,13-12-2007,10.7234
100027,12-12-2007,10.7241
100027,11-12-2007,10.7297
100027,10-12-2007,10.7314
100027,07-12-2007,10.7269
100027,06-12-2007,10.7237
100027,05-12-2007,10.7211
100027,04-12-2007,10.716
100027,03-12-2007,10.7116
100027,30-11-2007,10.6982
100027,29-11-2007,10.6809
100027,28-11-2007,10.6803
100027,27-11-2007,10.6823
100027,26-11-2007,10.6821
100027,23-11-2007,10.6739
100027,22-11-2007,10.6704
100027,21-11-2007,10.6675
100027,20-11-2007,10.6674
100027,19-11-2007,10.6628
100027,16-11-2007,10.657
100027,15-11-2007,10.651
100027,14-11-2007,10.6532
100027,13-11-2007,10.6497
100027,12-11-2007,10.6384
100027,08-11-2007,10.6293
100027,07-11-2007,10.634
100027,06-11-2007,10.6368
100027,05-11-2007,10.6378
100027,02-11-2007,10.6353
100027,01-11-2007,10.6317
100027,31-10-2007,10.6319
100027,30-10-2007,10.6396
100027,29-10-2007,10.652
100027,26-10-2007,10.6369
100027,25-10-2007,10.6373
100027,24-10-2007,10.6319
100027,23-10-2007,10.6066
100027,22-10-2007,10.5849
100027,19-10-2007,10.5614
100027,18-10-2007,10.5564
100027,17-10-2007,10.5471
100027,16-10-2007,10.5464
100027,15-10-2007,10.5449
100027,12-10-2007,10.54
100027,11-10-2007,10.5405
100027,10-10-2007,10.5333
100027,09-10-2007,10.524
100027,08-10-2007,10.5215
100027,05-10-2007,10.5135
100027,04-10-2007,10.5169
100027,03-10-2007,10.5164
100027,01-10-2007,10.4906
100027,28-09-2007,10.4855
100027,27-09-2007,10.668
100027,26-09-2007,10.6636
100027,25-09-2007,10.669
100027,24-09-2007,10.6719
100027,21-09-2007,10.6727
100027,20-09-2007,10.6644
100027,19-09-2007,10.6583
100027,18-09-2007,10.6485
100027,17-09-2007,10.6466
100027,14-09-2007,10.6429
100027,13-09-2007,10.6375
100027,12-09-2007,10.6385
100027,11-09-2007,10.6349
100027,10-09-2007,10.6423
100027,07-09-2007,-10.5
100027,06-09-2007,10.6181
100027,05-09-2007,10.6157
100027,04-09-2007,10.6153
100027,03-09-2007,10.6154
100027,31-08-2007,10.6056
100027,30-08-2007,10.5979
100027,29-08-2007,10.5989
100027,28-08-2007,10.6023
100027,27-08-2007,10.6098
100027,24-08-2007,10.606
100027,23-08-2007,10.6047
100027,22-08-2007,10.6046
100027,21-08-2007,10.5982
100027,17-08-2007,10.5965
100027,16-08-2007,10.6032
100027,14-08-2007,10.6051
100027,13-08-2007,10.6073
100027,10-08-2007,10.5983
100027,09-08-2007,10.6132
100027,08-08-2007,10.6477
100027,07-08-2007,10.679
100028,29-05-2008,10.6191
100028,28-05-2008,10.6235
100028,27-05-2008,10.6201
100028,26-05-2008,10.6192
100028,23-05-2008,10.6138
100028,22-05-2008,10.6122
100028,21-05-2008,10.6196
100028,20-05-2008,-10.5
100028,16-05-2008,10.6121
100028,15-05-2008,10.6099
100028,14-05-2008,10.6093
100028,13-05-2008,10.6094
100028,12-05-2008,10.6082
100028,09-05-2008,10.6019
100028,08-05-2008,10.5999
100028,07-05-2008,10.6
100028,06-05-2008,10.6043
100028,05-05-2008,10.5987
100028,02-05-2008,10.5887
100028,30-04-2008,10.5794
100028,29-04-2008,10.5717
100028,28-04-2008,10.5396
100028,25-04-2008,10.5242
100028,24-04-2008,10.5181
100028,23-04-2008,10.5166
100028,22-04-2008,10.516
100028,21-04-2008,10.5069
100028,17-04-2008,10.4993
100028,16-04-2008,-10.5
100028,15-04-2008,10.5026
100028,11-04-2008,10.495
100028,10-04-2008,10.4948
100028,09-04-2008,10.4952
100028,08-04-2008,10.493
100028,07-04-2008,10.4909
100028,04-04-2008,10.4826
100028,03-04-2008,10.4862
100028,02-04-2008,10.4835
100028,01-04-2008,10.4807
100028,31-03-2008,10.4787
100028,28-03-2008,10.4719
100028,27-03-2008,10.463
100028,26-03-2008,10.4591
100028,25-03-2008,10.4557
100028,24-03-2008,10.4536
100028,19-03-2008,10.6979
100028,18-03-2008,10.6942
100028,17-03-2008,10.6923
100028,14-03-2008,10.6876
100028,13-03-2008,10.6857
100028,12-03-2008,10.6848
100028,11-03-2008,10.6823
100028,10-03-2008,10.6822
100028,07-03-2008,10.6776
100028,05-03-2008,10.6752
100028,04-03-2008,10.6795
100028,03-03-2008,10.6803
100028,29-02-2008,10.6716
100028,28-02-2008,10.6642
100028,27-02-2008,10.6623
100028,26-02-2008,10.6616
100028,25-02-2008,10.657
100028,22-02-2008,10.6513
100028,21-02-2008,10.6525
100028,20-02-2008,10.6468
100028,19-02-2008,10.6602
100028,18-02-2008,10.6635
100028,15-02-2008,10.6691
100028,14-02-2008,10.6767
100028,13-02-2008,10.6825
100028,12-02-2008,10.6849
100028,11-02-2008,10.6869
100028,08-02-2008,10.6789
100028,07-02-2008,10.6789
100028,06-02-2008,10.6803
100028,05-02-2008,10.677
100028,04-02-2008,10.6793
100028,01-02-2008,10.675
100028,31-01-2008,10.6712
100028,30-01-2008,10.669
100028,29-01-2008,-10.5
100028,28-01-2008,10.7019
100028,25-01-2008,10.7134
100028,24-01-2008,10.7316
100028,23-01-2008,10.7304
100028,22-01-2008,10.6883
