amfi_code,retail_folios,corporate_folios,report_date
100027,190079,3471,2023-12-31
100028,444721,3475,2023-12-31
100029,314394,2073,2023-12-31
100030,8343,4101,2023-12-31
100031,27623,3779,2023-12-31
100032,280672,3088,2023-12-31
100033,473031,1960,2023-12-31
100034,463919,2784,2023-12-31
100035,268424,4993,2023-12-31
100036,34344,4983,2023-12-31
100037,303826,3139,2023-12-31
100038,23983,3647,2023-12-31
100041,263396,4374,2023-12-31
100042,336798,4499,2023-12-31
100043,374540,1660,2023-12-31
100044,477898,2002,2023-12-31
100046,94391,939,2023-12-31
100047,79664,1115,2023-12-31
100048,103573,2736,2023-12-31
100049,152441,3779,2023-12-31
100051,429943,3650,2023-12-31
100052,414311,1174,2023-12-31
100053,274232,1875,2023-12-31
100054,148684,2007,2023-12-31
100055,175848,2621,2023-12-31
100056,231448,1153,2023-12-31
100057,173388,693,2023-12-31
100058,470161,1331,2023-12-31
100059,300334,3369,2023-12-31
100060,445510,397,2023-12-31
100061,264800,3073,2023-12-31
100062,237001,1782,2023-12-31
100063,54980,865,2023-12-31
100064,321457,2102,2023-12-31
100065,49397,386,2023-12-31
100066,420739,1479,2023-12-31
100067,173396,4909,2023-12-31
100068,56100,864,2023-12-31
100069,90132,2433,2023-12-31
100077,110344,3462,2023-12-31
100078,123851,2643,2023-12-31
100079,21283,2392,2023-12-31
100080,134275,4728,2023-12-31
100081,268868,2644,2023-12-31
100082,117388,1990,2023-12-31
100084,349936,550,2023-12-31
100085,352140,807,2023-12-31
100086,443532,1977,2023-12-31
100087,394666,3448,2023-12-31
100088,403569,4078,2023-12-31
