transaction_id,amfi_code,investor_id,transaction_type,amount,transaction_date,kyc_status,state
TXN897608,100081,INV7563,Redemption,80948.84,04/08/2023,Rejected,Maharashtra
TXN609820,100051,INV6900,LUMP,-4419.26,27/06/2023,Pending,Karnataka
TXN527605,100038,INV4862,Redemption,50306.11,04/11/2023,,Gujarat
TXN279168,100067,INV3729,Lumpsum,18962.03,18/07/2023,,Karnataka
TXN341840,100035,INV8544,sip,47204.69,05/06/2023,Pending,Karnataka
TXN139999,100031,INV2634,LUMP,5159.54,21/03/2023,Rejected,Maharashtra
TXN908777,100036,INV1382,Redemption,40864.89,11/12/2023,Pending,Gujarat
TXN670530,100041,INV2441,sip,47056.5,19/07/2023,Rejected,Gujarat
TXN221999,100029,INV1076,SIP,24711.8,15/01/2023,Pending,Delhi
TXN129633,100060,INV2439,SIP,-73.23,25/03/2023,,Tamil Nadu
TXN929031,100034,INV6082,Lumpsum,44497.32,08/06/2023,Rejected,Maharashtra
TXN871245,100062,INV2894,sip,59235.95,01/01/2023,Verified,Maharashtra
TXN738238,100081,INV8334,Red,10040.03,10/11/2023,Rejected,Delhi
TXN886349,100033,INV9700,Red,35483.4,25/06/2023,Pending,Tamil Nadu
TXN339568,100068,INV8932,Redemption,17752.45,03/12/2023,Pending,Delhi
TXN805156,100078,INV1555,sip,3566.97,28/05/2023,Rejected,Tamil Nadu
TXN353319,100061,INV6831,Red,64519.78,14/08/2023,Verified,Delhi
TXN677039,100029,INV4898,LUMP,23740.8,03/06/2023,,Maharashtra
TXN137763,100030,INV4281,LUMP,96145.59,14/03/2023,,Delhi
TXN273485,100059,INV2436,SIP,58980.6,30/09/2023,Rejected,Gujarat
TXN910688,100056,INV3840,SIP,83776.51,15/07/2023,Verified,Gujarat
TXN149944,100048,INV6840,sip,75235.97,19/12/2023,Verified,Gujarat
TXN458600,100030,INV7399,Lumpsum,66784.26,26/06/2023,Pending,Delhi
TXN869482,100046,INV3455,SIP,60694.6,13/01/2023,,Tamil Nadu
TXN501174,100030,INV9451,sip,61946.63,19/11/2023,Verified,Tamil Nadu
TXN451217,100061,INV6945,sip,85545.88,24/03/2023,,Maharashtra
TXN438684,100079,INV2209,sip,81969.15,10/12/2023,Pending,Maharashtra
TXN282175,100066,INV8850,SIP,68435.92,27/11/2023,Pending,Gujarat
TXN196673,100062,INV8993,Red,-3726.88,03/11/2023,Verified,Maharashtra
TXN302797,100061,INV5120,sip,49739.71,02/09/2023,Rejected,Tamil Nadu
TXN461943,100054,INV9423,Redemption,228.59,21/05/2023,Verified,Tamil Nadu
TXN543468,100046,INV8610,SIP,62288.24,23/06/2023,,Tamil Nadu
TXN989827,100064,INV6588,SIP,52460.27,15/10/2023,Rejected,Gujarat
TXN237996,100034,INV9017,Redemption,36636.75,21/02/2023,Pending,Delhi
TXN778036,100051,INV5981,Redemption,42857.56,17/07/2023,Pending,Maharashtra
TXN567074,100064,INV5455,Redemption,92942.64,23/02/2023,,Tamil Nadu
TXN492136,100053,INV6329,Red,81511.5,26/09/2023,,Tamil Nadu
TXN881371,100086,INV2543,SIP,53988.25,24/07/2023,Rejected,Delhi
TXN613102,100088,INV9890,Red,20178.0,06/07/2023,Verified,Tamil Nadu
TXN726504,100087,INV7598,sip,-3839.5,13/05/2023,,Gujarat
TXN128997,100063,INV8578,LUMP,68296.88,18/09/2023,,Maharashtra
TXN719824,100064,INV4529,Redemption,78452.55,01/06/2023,Rejected,Maharashtra
TXN555358,100046,INV2149,Red,24769.92,22/04/2023,Verified,Tamil Nadu
TXN912761,100054,INV5301,Lumpsum,35233.38,24/01/2023,Rejected,Gujarat
TXN375652,100037,INV1811,SIP,6876.25,08/09/2023,Pending,Gujarat
TXN636861,100066,INV6557,Lumpsum,77300.46,16/02/2023,Rejected,Karnataka
TXN485368,100031,INV9727,Red,39148.63,06/02/2023,Verified,Tamil Nadu
TXN252589,100077,INV5632,Lumpsum,31478.98,21/02/2023,Rejected,Gujarat
TXN724521,100027,INV5093,SIP,96385.65,25/04/2023,Verified,Tamil Nadu
TXN153773,100030,INV7606,LUMP,10986.05,23/01/2023,Verified,Delhi
TXN362261,100031,INV7951,SIP,64543.44,16/04/2023,Pending,Gujarat
TXN464289,100034,INV4976,Red,-1890.85,29/09/2023,Pending,Gujarat
TXN557024,100055,INV3202,Redemption,39779.54,17/02/2023,Verified,Gujarat
TXN977100,100035,INV2934,Lumpsum,5585.53,06/11/2023,Pending,Maharashtra
TXN844100,100046,INV6174,Lumpsum,24292.16,26/09/2023,,Gujarat
TXN974365,100065,INV9486,SIP,10649.7,17/04/2023,,Maharashtra
TXN790918,100034,INV4475,Redemption,32557.47,07/02/2023,Rejected,Gujarat
TXN268722,100055,INV2242,Redemption,57509.03,14/12/2023,Pending,Tamil Nadu
TXN293771,100043,INV7570,SIP,93772.84,20/05/2023,Verified,Karnataka
TXN152431,100066,INV1816,Lumpsum,16779.29,28/09/2023,Verified,Maharashtra
TXN634431,100059,INV5311,sip,48507.62,27/12/2023,Verified,Delhi
TXN306903,100060,INV5381,Lumpsum,78764.11,21/10/2023,Verified,Karnataka
TXN397592,100057,INV5292,SIP,23836.66,27/09/2023,,Karnataka
TXN893816,100044,INV9902,sip,24380.49,27/11/2023,,Delhi
TXN486679,100063,INV6673,SIP,18892.96,02/12/2023,Pending,Karnataka
TXN963117,100036,INV1891,Redemption,73382.58,09/05/2023,Pending,Tamil Nadu
TXN504096,100047,INV6729,sip,41601.97,27/08/2023,Pending,Maharashtra
TXN653910,100068,INV5996,sip,58788.23,30/06/2023,,Gujarat
TXN739496,100031,INV8056,LUMP,64965.43,26/10/2023,Verified,Maharashtra
TXN406551,100035,INV8936,sip,96484.52,04/06/2023,Rejected,Delhi
TXN125001,100084,INV4879,sip,686.05,28/06/2023,Pending,Delhi
TXN535755,100065,INV2677,Red,13085.87,11/10/2023,Verified,Karnataka
TXN835262,100087,INV7729,sip,54127.92,05/03/2023,,Karnataka
TXN725189,100067,INV1332,Red,39516.13,13/05/2023,Pending,Gujarat
TXN995005,100078,INV4094,LUMP,9559.84,14/02/2023,Pending,Karnataka
TXN274454,100036,INV3882,Redemption,49347.9,10/05/2023,Pending,Maharashtra
TXN561551,100067,INV8292,sip,49926.96,18/10/2023,Verified,Maharashtra
TXN427347,100054,INV4298,SIP,87503.73,03/08/2023,Pending,Maharashtra
TXN382092,100086,INV7129,LUMP,43088.29,04/02/2023,Verified,Tamil Nadu
TXN990209,100068,INV8662,SIP,-117.63,06/06/2023,,Karnataka
TXN778635,100084,INV5326,LUMP,70616.27,01/01/2023,Pending,Gujarat
TXN872681,100068,INV9159,Redemption,93523.47,23/09/2023,,Tamil Nadu
TXN292458,100077,INV3181,Redemption,31413.1,04/10/2023,Verified,Delhi
TXN173305,100029,INV3160,SIP,62330.04,18/11/2023,Pending,Gujarat
TXN478894,100057,INV7424,Lumpsum,77690.13,03/01/2023,Pending,Karnataka
TXN139536,100055,INV1563,LUMP,58861.47,21/09/2023,Verified,Tamil Nadu
TXN287467,100079,INV6793,LUMP,93319.56,13/03/2023,Pending,Gujarat
TXN203381,100041,INV2491,SIP,28451.01,07/11/2023,Pending,Tamil Nadu
TXN499351,100054,INV9551,SIP,58112.37,09/07/2023,Pending,Karnataka
TXN409330,100029,INV3385,LUMP,98319.23,07/07/2023,,Karnataka
TXN503131,100084,INV4409,Lumpsum,5280.57,14/06/2023,,Maharashtra
TXN788315,100032,INV2952,Red,43150.5,02/10/2023,Pending,Tamil Nadu
TXN675771,100088,INV2714,Red,17432.09,03/08/2023,,Delhi
TXN293812,100078,INV8335,Red,94850.24,22/11/2023,,Maharashtra
TXN837326,100047,INV1237,Red,36227.36,06/10/2023,,Maharashtra
TXN195717,100086,INV6911,Lumpsum,9420.18,21/01/2023,,Maharashtra
TXN727358,100035,INV1867,sip,8183.57,22/09/2023,Pending,Maharashtra
TXN649236,100041,INV2686,Lumpsum,33585.12,04/05/2023,Rejected,Gujarat
TXN860869,100082,INV2382,sip,34515.55,07/04/2023,Pending,Karnataka
TXN258176,100031,INV9857,SIP,-4338.22,11/09/2023,Rejected,Tamil Nadu
TXN227395,100080,INV3588,sip,85317.82,12/01/2023,,Tamil Nadu
TXN260919,100034,INV4252,LUMP,34186.69,06/08/2023,,Gujarat
TXN929683,100035,INV7252,Lumpsum,8023.73,19/01/2023,Verified,Maharashtra
TXN895677,100055,INV9337,Lumpsum,29036.74,16/11/2023,,Gujarat
TXN929161,100082,INV4818,sip,98994.23,07/01/2023,,Maharashtra
TXN884181,100060,INV9128,Redemption,44289.38,02/10/2023,,Delhi
TXN206945,100053,INV1358,Lumpsum,54295.33,10/02/2023,Rejected,Gujarat
TXN621891,100029,INV6515,sip,87791.52,12/02/2023,Pending,Gujarat
TXN600739,100029,INV8367,LUMP,86536.97,24/04/2023,Pending,Karnataka
TXN798596,100057,INV4237,SIP,44272.67,01/08/2023,Verified,Karnataka
TXN918238,100086,INV1665,Lumpsum,97803.93,04/01/2023,Pending,Maharashtra
TXN988158,100036,INV5595,sip,4504.15,19/04/2023,Pending,Karnataka
TXN593361,100066,INV2599,LUMP,77466.76,02/04/2023,Verified,Karnataka
TXN470011,100041,INV6852,sip,76558.48,18/02/2023,,Delhi
TXN419115,100053,INV2540,Red,62273.98,17/07/2023,,Delhi
TXN427853,100032,INV9936,SIP,59236.55,10/05/2023,Rejected,Tamil Nadu
TXN899157,100088,INV7364,sip,22297.43,29/08/2023,,Maharashtra
TXN954653,100055,INV1641,Red,24956.66,16/09/2023,,Tamil Nadu
TXN796841,100065,INV3526,sip,48529.46,27/11/2023,Verified,Gujarat
TXN899398,100042,INV7085,LUMP,8636.91,06/05/2023,Verified,Delhi
TXN235938,100067,INV8523,sip,57759.58,11/07/2023,,Delhi
TXN500839,100057,INV6249,SIP,98026.22,22/07/2023,Pending,Tamil Nadu
TXN869624,100082,INV9075,LUMP,38158.43,20/05/2023,Pending,Karnataka
TXN815358,100052,INV1775,Lumpsum,-1423.94,12/05/2023,Rejected,Gujarat
TXN644826,100053,INV9851,LUMP,-3448.29,21/10/2023,Pending,Delhi
TXN397087,100057,INV1823,sip,50038.21,02/01/2023,,Gujarat
TXN835620,100052,INV6055,Red,86829.05,07/12/2023,Pending,Tamil Nadu
TXN262548,100043,INV4587,Red,53574.55,18/09/2023,Verified,Gujarat
TXN636721,100031,INV7148,sip,61934.92,26/07/2023,Pending,Tamil Nadu
TXN291402,100088,INV5553,Lumpsum,50119.82,17/02/2023,Verified,Delhi
TXN478294,100066,INV4809,SIP,60257.33,15/09/2023,Verified,Delhi
TXN472397,100031,INV4124,Lumpsum,87563.97,29/08/2023,Verified,Gujarat
TXN534671,100081,INV8750,Redemption,89922.09,26/11/2023,,Tamil Nadu
TXN382914,100063,INV1312,SIP,66081.63,20/02/2023,Pending,Tamil Nadu
TXN660564,100058,INV1513,Redemption,16345.41,24/06/2023,Rejected,Tamil Nadu
TXN894264,100078,INV2022,sip,5674.29,31/12/2023,Verified,Tamil Nadu
TXN339144,100084,INV6775,LUMP,29378.12,11/01/2023,Verified,Karnataka
TXN135516,100035,INV1852,Redemption,6817.04,02/12/2023,Pending,Delhi
TXN860198,100064,INV5139,Red,99617.24,25/06/2023,Rejected,Maharashtra
TXN340228,100088,INV5219,Redemption,4731.59,11/07/2023,,Maharashtra
TXN476048,100068,INV3923,sip,72964.53,08/06/2023,,Maharashtra
TXN539435,100051,INV8917,Lumpsum,92841.92,25/11/2023,Rejected,Tamil Nadu
TXN336524,100058,INV5551,Red,92511.09,29/03/2023,,Karnataka
TXN688481,100057,INV8814,LUMP,29178.0,30/03/2023,Pending,Karnataka
TXN424609,100037,INV6906,LUMP,-4206.5,29/03/2023,,Maharashtra
TXN262996,100055,INV7921,sip,74895.35,16/07/2023,Rejected,Delhi
TXN185734,100060,INV6657,Redemption,44027.0,08/08/2023,,Karnataka
TXN861135,100079,INV7516,Red,16963.65,04/10/2023,Pending,Maharashtra
TXN643698,100027,INV5377,sip,6187.26,18/10/2023,Verified,Delhi
TXN421248,100051,INV5043,Red,53023.32,06/10/2023,,Tamil Nadu
TXN885113,100058,INV8317,sip,23300.99,10/01/2023,Pending,Karnataka
TXN391822,100032,INV3278,Red,27314.07,07/01/2023,Rejected,Maharashtra
TXN142057,100036,INV5240,Redemption,2462.69,08/01/2023,Rejected,Delhi
TXN425853,100034,INV2614,Red,62632.01,18/06/2023,Pending,Karnataka
TXN327733,100078,INV9271,Lumpsum,3662.39,16/07/2023,Pending,Gujarat
TXN314185,100047,INV8769,Redemption,89576.21,16/02/2023,Pending,Tamil Nadu
TXN855302,100055,INV1793,SIP,37554.11,12/05/2023,Pending,Gujarat
TXN299361,100062,INV3445,LUMP,68787.6,20/04/2023,Rejected,Tamil Nadu
TXN743268,100029,INV3356,sip,79228.61,01/09/2023,Rejected,Karnataka
TXN401100,100054,INV4765,Redemption,98809.22,12/07/2023,Rejected,Maharashtra
TXN208595,100065,INV5847,LUMP,50776.23,30/03/2023,Verified,Karnataka
TXN315239,100063,INV6524,LUMP,37604.08,21/12/2023,Verified,Delhi
TXN204105,100047,INV8053,sip,76463.24,13/10/2023,Rejected,Gujarat
TXN495590,100082,INV5774,LUMP,-4927.5,18/05/2023,Rejected,Delhi
TXN223894,100036,INV5158,sip,5436.53,18/07/2023,Rejected,Delhi
TXN725267,100030,INV6460,Redemption,64978.07,20/08/2023,Verified,Delhi
TXN450772,100032,INV1407,Lumpsum,91201.36,30/01/2023,Verified,Gujarat
TXN558926,100032,INV7338,Lumpsum,93961.92,18/09/2023,Rejected,Karnataka
TXN363691,100086,INV4431,Redemption,82125.36,23/05/2023,Rejected,Tamil Nadu
TXN267993,100033,INV4958,SIP,99286.34,26/04/2023,,Maharashtra
TXN163860,100059,INV2294,Red,83577.54,23/09/2023,Pending,Gujarat
TXN165045,100079,INV8350,SIP,40064.47,12/09/2023,,Tamil Nadu
TXN657544,100042,INV3128,LUMP,85344.5,17/11/2023,Pending,Maharashtra
TXN280168,100086,INV1206,sip,99884.25,02/02/2023,Rejected,Gujarat
TXN255846,100067,INV5629,Lumpsum,7430.31,21/05/2023,Pending,Delhi
TXN596457,100042,INV5097,Redemption,84291.1,11/06/2023,Pending,Gujarat
TXN482811,100060,INV4307,Redemption,25759.98,07/07/2023,,Delhi
