amfi_code,stock_name,allocation_percentage
100027,Reliance Industries,4.75
100027,Infosys,7.77
100027,Reliance Industries,3.75
100028,ICICI Bank,1.88
100028,TCS,12.89
100028,Reliance Industries,13.0
100028,TCS,6.5
100029,Infosys,12.04
100029,ITC,3.41
100030,ICICI Bank,5.61
100030,Infosys,6.64
100030,TCS,10.51
100031,ICICI Bank,6.7
100031,ITC,5.33
100032,ICICI Bank,2.08
100032,TCS,8.09
100033,Infosys,2.29
100033,ICICI Bank,11.3
100033,ICICI Bank,10.87
100034,TCS,14.03
100034,Infosys,4.74
100035,ICICI Bank,1.52
100035,Infosys,9.18
100035,Reliance Industries,13.26
100036,Reliance Industries,3.49
100036,ITC,10.95
100036,ITC,12.56
100037,Infosys,1.37
100037,Infosys,9.81
100038,HDFC Bank,6.41
100038,ITC,5.56
100038,Infosys,1.66
100038,ITC,14.19
100041,ICICI Bank,10.32
100041,ICICI Bank,12.61
100041,Infosys,3.78
100042,ICICI Bank,5.32
100042,Reliance Industries,2.76
100042,Infosys,11.95
100043,ICICI Bank,11.48
100043,HDFC Bank,6.17
100044,ICICI Bank,9.05
100044,Infosys,9.07
100044,Reliance Industries,9.9
100044,ICICI Bank,10.66
100046,ICICI Bank,4.82
100046,HDFC Bank,3.35
100047,Reliance Industries,4.6
100047,ITC,12.01
100047,Infosys,14.68
100048,Infosys,7.2
100048,Infosys,12.22
100048,ICICI Bank,4.88
100049,ICICI Bank,8.3
100049,TCS,3.42
100051,ICICI Bank,8.18
100051,TCS,7.07
100051,Infosys,2.66
100052,Infosys,1.97
100052,HDFC Bank,2.77
100052,ITC,5.01
100053,Reliance Industries,6.76
100053,ICICI Bank,12.61
100054,Infosys,10.14
100054,TCS,5.67
100055,ICICI Bank,11.14
100055,ICICI Bank,3.3
100055,HDFC Bank,14.26
100055,TCS,7.68
100056,ICICI Bank,11.25
100056,ITC,3.33
100056,ITC,13.74
100057,HDFC Bank,1.71
100057,ICICI Bank,14.96
100057,ICICI Bank,12.65
100057,Infosys,13.52
100058,Reliance Industries,8.86
100058,TCS,6.39
100058,Infosys,12.8
100059,TCS,14.09
100059,Infosys,2.16
100059,Reliance Industries,1.83
100060,Infosys,14.05
100060,Infosys,11.54
100060,Reliance Industries,14.51
100061,ICICI Bank,3.31
100061,ICICI Bank,12.47
100061,ICICI Bank,8.16
100061,ICICI Bank,6.82
100062,ITC,6.15
100062,ITC,9.85
100062,HDFC Bank,7.82
100063,HDFC Bank,12.09
100063,ICICI Bank,11.33
100063,Infosys,2.88
100063,ITC,6.23
100064,ITC,14.23
100064,ITC,6.75
100064,ITC,7.01
100065,Infosys,8.07
100065,HDFC Bank,12.72
100065,ITC,9.93
100066,Reliance Industries,12.57
100066,ITC,6.52
100066,Reliance Industries,7.94
100066,Infosys,3.4
100067,TCS,9.56
100067,Infosys,11.53
100068,HDFC Bank,10.73
100068,HDFC Bank,9.78
100068,HDFC Bank,5.12
100069,Reliance Industries,7.09
100069,TCS,11.52
100069,ITC,12.58
100077,ITC,14.7
100077,TCS,1.03
100078,Reliance Industries,9.7
100078,Reliance Industries,7.85
100079,TCS,13.1
100079,TCS,7.68
100079,Reliance Industries,4.62
100080,TCS,13.96
100080,Infosys,11.01
100081,Reliance Industries,9.8
100081,ITC,13.46
100082,ITC,8.76
100082,TCS,9.73
100084,Infosys,5.86
100084,HDFC Bank,13.12
100084,ITC,1.2
100085,ICICI Bank,5.3
100085,ITC,6.17
100085,Infosys,4.23
100086,HDFC Bank,8.94
100086,ICICI Bank,13.55
100086,Infosys,9.56
100087,Infosys,7.92
100087,Reliance Industries,12.71
100087,Reliance Industries,1.72
100088,ICICI Bank,13.79
100088,HDFC Bank,8.86
100088,Infosys,10.56
